type,question,options,answer,audio
mcq,What is the recommended frequency for an adult to undergo a routine check-up?,Monthly;Every 3 months;Annually;Only when symptomatic,Annually,RoutineCheck-Up6.mp3
mcq,Which of the following is NOT typically included in a routine check-up?,Blood pressure measurement;Complete blood count (CBC);Review of medical history;Vaccination updates,Vaccination updates,RoutineCheck-Up7.mp3
mcq,What is the first step a doctor should take when a patient reports occasional headaches?,Prescribe pain medication;Order a brain MRI;Take a detailed history and perform a physical exam;Refer to a neurologist,Take a detailed history and perform a physical exam,RoutineCheck-up8.mp3
mcq,When a patient reports feeling fatigued which initial test is most commonly ordered?,Thyroid function test;Electrocardiogram (ECG);Chest X-ray;Allergy testing,Thyroid function test,RoutineCheck-Up9.mp3
mcq,How should a doctor address a patient's concerns about increased stress levels during a routine check-up?,Refer to a psychiatrist immediately;Suggest lifestyle modifications and possibly a mental health referral;Prescribe anti-anxiety medication;Ignore unless the patient insists on discussing it,Suggest lifestyle modifications and possibly a mental health referral,RoutineCheck-Up10.mp3
tf,Should a primary care physician routinely ask patients about recent significant changes in their weight during a check-up?,true;false,true,RoutineCheck-up1.mp3
tf,Is it important for a doctor to review a patient’s medication list including over-the-counter drugs during a routine check-up?,true;false,true,RoutineCheck-Up2.mp3
tf,Should a family history of chronic illnesses be discussed during a routine examination?,true;false,true,RoutineCheckUp-3.mp3
tf,Is it necessary to assess a patient’s diet and exercise habits during a routine check-up?,true;false,true,RoutineCheck-Up4.mp3
tf,Should a routine check-up include a discussion about the patient's mental health and stress levels?,true;false,true,RoutineCheck_Up5.mp3
mcq,When a patient presents with severe abdominal pain what is the first diagnostic step?,Abdominal ultrasound;Blood tests;Detailed history and physical examination;Immediate surgery,Detailed history and physical examination,EmergencyVisit6.mp3
mcq,What is the priority action when a patient arrives with chest pain?,Administer pain medication;Perform an electrocardiogram (ECG);Obtain a chest X-ray;Conduct a thorough history-taking,Perform an electrocardiogram (ECG),EmergencyVisit7.mp3
mcq,Which symptom in addition to severe abdominal pain would most likely indicate the need for immediate surgical consultation?,Mild nausea;Low-grade fever;Rigidity and guarding on physical exam;Occasional dizziness,Rigidity and guarding on physical exam,EmergencyVisit8.mp3
mcq,How should a doctor manage a patient who reports sudden severe pain of unknown origin?,Conduct a comprehensive history and physical exam first;Administer strong analgesics and reassess;Order a full body MRI immediately;Refer to a pain specialist,Conduct a comprehensive history and physical exam first,EmergencyVisit9.mp3
mcq,In an emergency visit which of the following histories is most critical to document immediately?,Dietary habits;Family medical history;Recent surgeries or injuries;Social history,EmergencyVisit10.mp3
tf,Should a doctor always ask if a patient has experienced a similar type of pain before during an emergency visit?,true;false,true,EmergencyVisit1.mp3
tf,Is it crucial to determine if the pain is localized or radiating in an emergency setting?,true;false,true,EmergencyVisit2.mp3
tf,Should the duration of the pain be one of the initial questions in an emergency assessment?,true;false,true,EmergencyVisit3.mp3
tf,Is it necessary to inquire about recent medication intake when assessing a patient with severe pain?,true;false,true,EmergencyVisit4.mp3
tf,Should the doctor consider the possibility of underlying chronic conditions even in an emergency situation?,true;false,true,EmergencyVisit5.mp3
mcq,What is the best initial step in evaluating a patient with intermittent fever and unexplained weight loss?,Immediate biopsy;Comprehensive history and physical examination;Prescribe broad-spectrum antibiotics;Refer to an infectious disease specialist,Comprehensive history and physical examination,DiagnosticDilemma6.mp3
mcq,Which of the following diagnostic tests would be most appropriate initially for a patient with vague gastrointestinal symptoms?,Colonoscopy;Abdominal CT scan;Blood work including liver function tests;Endoscopy,Blood work including liver function tests,DiagnosticDilemma7.mp3
mcq,When encountering a diagnostic dilemma which approach is typically most effective?,Narrow down to one likely diagnosis immediately;Use a systematic approach to rule out common conditions first;Refer to multiple specialists at once;Rely on patient’s self-diagnosis and reported symptoms,Use a systematic approach to rule out common conditions first,DiagnosticDilemma8.mp3
mcq,In a case of unexplained weight loss what additional history is most pertinent?,Recent exercise routine;Detailed dietary habits;Sleep patterns;Recent social activities,Detailed dietary habits,DiagnosticDilemma9.mp3
mcq,How often should follow-up be scheduled in a patient with an undiagnosed condition?,Weekly;Every 2 weeks;Monthly;Only when new symptoms develop,Every 2 weeks,DiagnosticDilemma10.mp3
tf,Should a doctor consider a broad range of potential diagnoses when a patient presents with vague symptoms like unexplained weight loss?,true;false,true,DiagnosticDilemma1.mp3
tf,Is it important to inquire about recent travel history in patients with unexplained symptoms?,true;false,true,DiagnosticDilemma2.mp3
